('asp-4', 'C35E7.11')
('alh-10', 'F13H10.8')
('C16C10.9', 'mul-1')
('K06A4.7', 'cof-2')
('Y71G12B.26', 'F53E10.6')
('C24B9.3', 'K02E7.4')
('spp-14', 'jtr-1')
('F53A9.3', 'Y32F6B.1')
('Y41G9A.10', 'klp-6')
('C49A9.9', 'epg-9')
('Y50D4C.5', 'gei-15')
('mrpl-19', 'F53F1.2')
('ZK131.11', 'fbxb-90')
('asp-13', 'such-1')
('Y62H9A.15', 'pyr-1')
('M03F8.1', 'tfg-1')
('C36A4.4', 'ztf-25')
('frpr-10', 'ZC190.4')
('abu-8', 'best-3')
('nspe-1', 'Y116A8C.25')
('C25H3.7', 'C44C1.1')
('pges-2', 'K01B6.3')
('C18E9.4', 'K12G11.6')
('D2021.4', 'C45G9.7')
('mom-2', 'nas-30')
('F07G6.8', 'sec-3')
('scrm-4', 'T10G3.8')
('ger-1', 'tag-340')
('acs-16', 'T23F6.5')
('C09G9.5', 'dnj-8')
('Y105C5A.24', 'R02D5.9')
('F53B3.6', 'VW02B12L.2')
('B0365.9', 'ttr-9')
('drr-1', 'srh-16')
('C03A3.3', 'F21D9.1')
('mlt-7', 'Y46E12BL.2')
('mam-5', 'coq-4')
('exos-2', 'best-8')
('F41B4.1', 'ztf-9')
('try-3', 'Y38E10A.28')
('T25G12.3', 'F57G9.3')
('C04G6.7', 'unc-62')
('F13A2.4', 'catp-3')
('hecw-1', 'F21F3.4')
('W09D10.5', 'ugt-17')
('hgap-1', 'pxn-2')
('folt-2', 'ZK899.2')
('rad-54', 'nphp-1')
('aco-1', 'ttr-15')
('D1014.5', 'Y43F8B.24')
('M116.5', 'Y42A5A.3')
('C34E11.4', 'lron-1')
('M04C9.4', 'faah-1')
('R12H7.4', 'kin-33')
('lam-1', 'kvs-5')
('ppk-3', 'C02F5.14')
('F35C8.5', 'Y54E10BR.3')
('zag-1', 'Y73E7A.3')
('F53H1.3', 'unc-132')
('nhr-115', 'daf-8')
('gsk-3', 'F41G4.7')
('nhr-270', 'sec-12')
('F48E3.4', 'C34C12.8')
('C01G6.3', 'F14B6.3')
('F47E1.4', 'pas-5')
('pgs-1', 'F17A2.13')
('T04F3.1', 'sri-46')
('F43G6.16', 'F59A6.10')
('F09G2.1', 'dlc-2')
('C05B5.4', 'inx-12')
('F18E3.12', 'C08A9.6')
('lect-2', 'C10C6.7')
('dsl-7', 'his-38')
('T20G5.14', 'rpoa-49')
('ZK84.1', 'fbxa-224')
('col-68', 'lhfp-4')
('ZK470.6', 'spc-1')
('Y54G11A.7', 'T13G4.4')
('F25E5.8', 'tab-1')
('hmbx-1', 'idh-1')
('W05F2.6', 'metl-2')
('col-167', 'lmd-1')
('K09A11.1', 'crh-2')
('F32H2.7', 'aakg-5')
('Y38E10A.14', 'nhr-57')
('gcp-2.1', 'C04E6.11')
('ceh-34', 'ZK1240.9')
('ceh-18', 'F10C2.3')
('Y53F4B.25', 'C15F1.8')
('F26G1.5', 'ceh-91')
('spr-4', 'nep-22')
('cisd-3.1', 'T22D1.18')
('lurp-1', 'fbxc-45')
('Y17G9B.4', 'nhx-4')
('sdz-1', 'F22H10.3')
('T11F8.1', 'del-1')
('col-43', 'M03F4.6')
('C23G10.5', 'ZK265.7')
('brp-1', 'C28H8.4')
('best-14', 'T23F11.6')
('gst-36', 'F23H11.4')
('W06D4.3', 'F13D12.5')
('perm-5', 'spe-5')
('ZK809.5', 'F21C10.9')
('mon-2', 'Y18D10A.9')
('frm-5.1', 'K01A6.5')
('W09D6.5', 'C17F4.8')
('T19B10.5', 'K11D2.4')
('fax-1', 'T20B5.2')
('slt-1', 'Y54E2A.4')
('W07G4.1', 'F41E7.1')
('C34F6.1', 'K05F6.14')
('C49H3.16', 'K07B1.4')
('F13A2.2', 'alh-12')
('sydn-1', 'bro-1')
('K04A8.1', 'twk-29')
('exc-6', 'ets-4')
('C49F5.13', 'EEED8.14')
('K05B2.4', 'ZC455.1')
('C41G11.1', 'Y53H1B.2')
('F26A1.4', 'ugt-24')
('C29F7.1', 'T22F3.12')
('Y38A10A.2', 'mus-101')
('sek-3', 'egl-38')
('cyp-13A5', 'kynu-1')
('ggr-1', 'sftd-3')
('F22D6.2', 'cup-16')
('ZK863.8', 'dao-2')
('F22D6.8', 'Y54G2A.50')
('lin-3', 'Y53F4B.11')
('rrf-1', 'M01E5.4')
('Y56A3A.31', 'W04E12.2')
('gst-4', 'hum-1')
('dbt-1', 'H42K12.3')
('F20B10.3', 'plp-2')
('ugt-28', 'klo-1')
('vps-22', 'K02F3.9')
('ehbp-1', 'gon-14')
('lys-4', 'lars-2')
('T26A5.8', 'smg-1')
('F54D5.15', 'timm-17B.2')
('pqm-1', 'T25D10.1')
('R107.2', 'Y116A8C.19')
('Y47G6A.15', 'srh-87')
('F02A9.4', 'fbxb-116')
('E04F6.8', 'sdc-2')
('cyp-42A1', 'C05C8.7')
('ZK370.8', 'clec-161')
('C31H2.4', 'K07D4.5')
('T19D12.1', 'mif-4')
('strm-1', 'R05H11.1')
('F32B6.10', 'nhr-226')
('oig-4', 'C03B1.13')
('sre-13', 'Y43F8B.9')
('acy-2', 'EGAP9.3')
('attf-5', 'nhr-149')
('ZK899.3', 'npr-1')
('W02G9.3', 'Y51A2D.18')
('scpl-4', 'C08F11.13')
('rps-2', 'C46A5.6')
('F32A11.3', 'C37C3.9')
('asp-5', 'E_BE45912.2')
('Y81G3A.4', 'B0238.15')
('F18E9.3', 'ugt-9')
('F32D1.11', 'glh-3')
('clec-34', 'tag-353')
('nhr-128', 'B0310.2')
('H06I04.5', 'fut-2')
('ftn-1', 'C33D9.8')
('ttr-34', 'F59C6.18')
('C53D6.6', 'fbxb-9')
('ttr-45', 'Y71F9AL.8')
('ZK287.4', 'moc-1')
('paqr-3', 'W01B11.6')
('clp-1', 'T10G3.1')
('T16G1.18', 'plep-1')
('daf-18', 'Y52E8A.1')
('cyp-35C1', 'B0348.2')
('T20D3.3', 'otub-1')
('rga-2', 'sdz-13')
('F56C9.8', 'tald-1')
('ZC155.4', 'ZK470.1')
('fbxb-30', 'ZK858.2')
('C06G1.1', 'F23H11.2')
('fmo-4', 'epg-2')
('C53A5.9', 'dgtr-1')
('R12C12.7', 'ztf-14')
('svh-1', 'math-42')
('sec-24.2', 'nath-10')
('F52E1.2', 'F56D5.5')
('algn-11', 'tag-307')
('imp-1', 'fbxa-16')
('klp-4', 'T09A12.1')
('cyn-1', 'C46H11.2')
('jud-4', 'C04B4.2')
('ifc-1', 'pals-26')
('grd-14', 'ZK945.7')
('spp-19', 'F32H2.6')
('T26H5.8', 'prx-2')
('R10E4.1', 'F54B3.4')
('F52H2.7', 'hpo-13')
('Y48G1A.2', 'enu-3.3')
('cyp-23A1', 'F13E6.1')
('hlh-1', 'F08F1.3')
('K10D11.7', 'fbxc-26')
('srh-303', 'F13B6.1')
('F15B9.10', 'ets-9')
('gsnl-1', 'R03A10.5')
('T21B10.3', 'ttr-2')
('rpl-32', 'T05H10.4')
('Y34B4A.5', 'F49C12.6')
('C23H4.8', 'F23B12.1')
('sma-2', 'pot-2')
('col-98', 'flad-1')
('T10E9.3', 'dhs-12')
('M02B7.2', 'F31E8.4')
('R10H10.6', 'Y60A3A.16')
('tbc-19', 'ppat-1')
('ZK673.1', 'Y67D2.5')
('F32D8.13', 'T16A9.5')
('T24C4.8', 'B0222.11')
('C14C11.4', 'inx-16')
('R07B1.8', 'nhr-131')
('F18C12.4', 'F28F9.2')
('Y48E1B.2', 'sgcb-1')
('pqn-63', 'spe-15')
('mei-2', 'C13A2.12')
('M04B2.4', 'T12C9.7')
('glr-2', 'R07E4.3')
('R148.4', 'srh-71')
('Y38F1A.8', 'slc-36.5')
('col-109', 'snb-2')
('bca-1', 'F19C7.2')
('ctns-1', 'R11.3')
('bli-3', 'D2005.4')
('gsto-3', 'cyp-25A3')
('Y4C6A.3', 'npr-22')
('B0334.13', 'C47E12.13')
('sod-1', 'ceh-5')
('gpa-17', 'clec-24')
('F55C9.14', 'col-12')
('T01D1.8', 'F21H7.5')
('tsp-11', 'cbd-1')
('F10D11.5', 'lpd-2')
('puf-6', 'D1054.5')
('anmt-2', 'ugt-22')
('vnut-1', 'K06H7.2')
('dmsr-8', 'F45F2.11')
('srw-97', 'Y41G9A.2')
('R07G3.7', 'K10D11.3')
('F21A3.3', 'T10C6.10')
('F56F10.1', 'erfa-3')
('F58E6.11', 'srsx-35')
('ccf-1', 'clec-242')
('Y58A7A.3', 'gfm-1')
('F11E6.8', 'Y105E8A.21')
('fbxb-61', 'Y45G5AM.5')
('C07F11.2', 'fbxa-120')
('T16G12.8', 'nol-5')
('F54G2.2', 'asfl-1')
('F10D7.2', 'C02B8.6')
('C07B5.4', 'K01G5.5')
('gen-1', 'fbxb-60')
('C25H3.8', 'aho-3')
('vars-1', 'gcs-1')
('vglu-2', 'lgc-28')
('gpx-2', 'hipr-1')
('F57G12.2', 'C47E12.2')
('cgr-1', 'cyn-9')
('unc-73', 'kin-14')
('srx-80', 'K08H2.2')
('nhr-243', 'F21D5.7')
('acs-12', 'F35H8.2')
('W03D2.9', 'aex-1')
('C06B3.6', 'F36F12.3')
('fbxb-82', 'B0336.3')
('C16C2.4', 'T19C4.24')
('clec-233', 'afmd-2')
('Y43C5A.2', 'chl-1')
('C52E12.1', 'F36D4.4')
('C32H11.4', 'nprt-1')
('C24H10.3', 'Y73B3A.4')
('T19H5.6', 'hpo-6')
('nep-16', 'gss-1')
('sams-1', 'aat-8')
('srd-70', 'Y71F9AL.1')
('nfm-1', 'B0244.10')
('nca-2', 'H20J04.4')
('C34B2.11', 'lgg-3')
('F13H8.1', 'R08E5.3')
('cyb-2.2', 'ZK829.9')
('R12B2.3', 'dpy-31')
('fbxc-22', 'car-1')
('lmtr-3', 'misc-1')
('tufm-2', 'col-64')
('fipr-21', 'mrpl-11')
('EGAP4.1', 'F17A9.5')
('T05D4.3', 'T02B11.6')
('F53F10.1', 'F45E1.4')
('C56A3.4', 'gpd-4')
('C25H3.14', 'lam-3')
('wht-1', 'mlt-4')
('alh-6', 'aqp-9')
('K08B12.1', 'nhr-230')
('Y11D7A.10', 'mtd-1')
('R13A5.10', 'K12H4.7')
('psa-3', 'ceh-31')
('cpt-6', 'Y87G2A.13')
('C55A6.6', 'ncs-3')
('col-33', 'C09H10.5')
('cyp-33A1', 'nrfl-1')
('rle-1', 'F32A11.1')
('F30F8.10', 'gst-1')
('haf-3', 'rbg-2')
('let-653', 'B0491.5')
('E01G6.3', 'F22E5.1')
('K03H6.5', 'sem-2')
('oac-52', 'mrpl-46')
('twk-31', 'C33G3.4')
('Y57G11C.40', 'cgt-3')
('Y57A10C.11', 'F09C12.6')
('cco-1', 'arrd-8')
('grl-18', 'B0025.5')
('M02G9.3', 'clec-83')
('Y43F11A.1', 'C36B7.3')
('T20G5.13', 'fmo-2')
('ubc-26', 'Y55F3AR.1')
('mua-3', 'dsl-2')
('C50C3.5', 'aptf-2')
('gna-2', 'Y53G8AR.1')
('M01G12.9', 'ckb-1')
('C34C12.6', 'ipla-2')
('T10C6.7', 'ZK6.11')
('T22B7.3', 'rab-6.2')
('Y37A1A.3', 'H03G16.5')
('srx-76', 'ZK177.9')
('C49G7.10', 'fkb-4')
('Y51H7C.3', 'ckr-2')
('R02D5.1', 'fipr-3')
('math-37', 'ZK328.6')
('F47D12.9', 'C40H1.9')
('cisd-1', 'C35D10.5')
('C31G12.1', 'smcr-8')
('C44B9.3', 'Y106G6D.1')
('dhfr-1', 'C25F6.1')
('C07E3.4', 'pqn-27')
('T19C3.5', 'sru-2')
('ckb-4', 'acn-1')
('haf-4', 'srh-42')
('ZC168.2', 'F44G4.3')
('C02D5.4', 'Y48G1A.1')
('aakg-4', 'ZK686.2')
('C53D6.8', 'F46F3.3')
('C25D7.10', 'pals-33')
('ptr-15', 'aakg-1')
('rps-29', 'his-48')
('acr-15', 'pad-1')
('gpi-1', 'sar-1')
('nhr-141', 'R11.4')
('sssh-1', 'cima-1')
('T04F8.7', 'F25B4.8')
('tufm-1', 'ogr-2')
('fkh-10', 'F08A8.5')
('sre-14', 'otpl-3')
('prg-1', 'Y32H12A.8')
('K10C3.5', 'srh-195')
('lgc-26', 'skr-2')
('Y73B6BL.47', 'ugt-46')
('T07D3.9', 'M04C9.3')
('Y56A3A.19', 'grd-15')
('T25B2.2', 'R11F4.1')
('dsc-1', 'Y82E9BR.1')
('K08B5.2', 'ZK856.5')
('tnt-2', 'nlp-37')
('osta-3', 'C46A5.4')
('rsd-3', 'W06B4.1')
('R09E10.1', 'F56H11.2')
('T09D3.3', 'wrt-4')
('pqn-36', 'F22B5.6')
('F49H12.5', 'nhr-146')
('T28C12.6', 'swt-5')
('Y77E11A.23', 'F55G11.8')
('ZK1055.2', 'F13C5.3')
('F40F12.7', 'eat-20')
('CD4.5', 'odd-1')
('F47G4.4', 'mttu-1')
('Y57A10C.9', 'F59A3.13')
('H20J04.9', 'ZK1058.5')
('F47D12.7', 'daf-22')
('C16A11.3', 'lir-3')
('F40G12.6', 'spin-1')
('B0285.4', 'wdr-46')
('fkh-7', 'F13E9.13')
('pgp-4', 'dao-3')
('Y4C6B.5', 'algn-14')
('dgk-2', 'M163.11')
('C18B12.4', 'frpr-19')
('M05B5.4', 'lag-2')
('T26C11.9', 'Y111B2A.2')
('pde-3', 'ubc-1')
('F09E5.11', 'fbxb-76')
('F09C6.11', 'eif-2Bbeta')
('mua-6', 'btb-11')
('col-75', 'mrpl-12')
('H39E23.2', 'T13F2.6')
('D2007.2', 'T26E3.8')
('F21A9.1', 'Y59C2A.2')
('ced-6', 'got-2.1')
('B0280.13', 'F25D1.2')
('D2045.8', 'W05G11.2')
('T26C5.4', 'col-83')
('R12C12.9', 'C55A6.12')
('C28G1.5', 'mesp-1')
('F46F5.7', 'F47B8.10')
('C29F9.2', 'Y82E9BL.2')
('npp-25', 'T11B7.1')
('T17H7.7', 'ZK809.9')
('F28B4.3', 'F33H2.8')
('pfkb-1.2', 'mrps-16')
('acdh-9', 'sre-51')
('ttr-48', 'gei-18')
('Y69A2AR.31', 'abt-5')
('F44E7.5', 'tsp-10')
('abtm-1', 'C01G5.9')
('pqn-39', 'nhr-218')
('C10C5.5', 'aka-1')
('tag-89', 'lact-8')
('sel-10', 'iff-1')
('F55H12.3', 'fbxb-36')
('bath-36', 'M88.3')
('sdz-32', 'col-39')
('rpl-16', 'cyn-11')
('fbxb-24', 'daao-1')
('T01H3.2', 'gla-3')
('pqn-24', 'ndx-2')
('lin-45', 'bath-47')
('spi-1', 'B0034.4')
('C35A5.6', 'F25D1.3')
('ZK1290.14', 'nlp-19')
('Y40C5A.4', 'T14B4.5')
('stdh-1', 'Y47H9B.2')
('F09C8.1', 'Y73E7A.6')
('nhr-97', 'gas-1')
('fbxa-153', 'gpx-3')
('W08E12.7', 'C06E1.9')
('F14B8.6', 'Y55F3C.10')
('klf-3', 'gfat-1')
('atg-18', 'glrx-22')
('erv-46', 'fars-2')
('T27C5.12', 'rap-3')
('Y94H6A.10', 'ZK637.4')
('dnj-14', 'mrpl-17')
('F09B9.5', 'rpt-4')
('gbf-1', 'vap-1')
('C25H3.9', 'C06G3.3')
('Y42G9A.2', 'tag-272')
('M57.2', 'K11H3.3')
('ztf-1', 'sym-2')
('gly-4', 'D2005.7')
('F57C12.2', 'cox-15')
('hum-6', 'Y39A3CR.5')
('F09D12.2', 'cdk-5')
('pat-6', 'cpb-1')
('F58F12.4', 'Y38C1AA.1')
('C01G5.5', 'scav-4')
('hsp-70', 'nhr-77')
('Y37D8A.2', 'rbr-2')
('T22B2.1', 'T09A5.4')
('crh-1', 'prx-14')
('R04F11.2', 'hpo-11')
('D2030.7', 'F38C2.7')
('T14G10.5', 'usp-3')
('gpap-1', 'C33C12.4')
('C46H11.10', 'ttr-47')
('F36H9.5', 'sam-10')
('eyg-1', 'nhr-35')
('C17H12.3', 'F31C3.6')
('F28B4.4', 'C35C5.9')
('frpr-17', 'sph-1')
('F19B10.2', 'Y32F6A.4')
('F48E3.8', 'mex-1')
('ulp-4', 'chc-1')
('K10D6.4', 'T22C8.6')
('C44C10.9', 'ekl-7')
('W06F12.3', 'fbxb-39')
('F52C9.5', 'nhx-1')
('syx-4', 'cogc-5')
('C04F12.5', 'wago-4')
('nob-1', 'cutl-3')
('F10E7.11', 'hsp-16.1')
('pho-9', 'nhr-13')
('K11D12.11', 'fbxb-68')
('fbxa-114', 'acr-7')
('F01F1.2', 'oac-56')
('ZC412.3', 'T25G12.6')
('pha-1', 'him-3')
('W05F2.3', 'fbxb-57')
('str-39', 'C09G5.7')
('cyp-35A2', 'F39G3.3')
('lgc-4', 'C18B10.6')
('Y51H7C.10', 'C07G3.15')
('cec-9', 'C25A1.16')
('C24A11.1', 'F53B2.5')
('mboa-3', 'gska-3')
('F59B2.13', 'bath-13')
('ctl-2', 'cpt-5')
('cyp-29A2', 'PDB1.1')
('srab-1', 'cdc-48.3')
('acdh-13', 'C35B1.2')
('kat-1', 'cyb-2.1')
('fbxb-49', 'elli-1')
('F16B4.2', 'C06G3.6')
('wip-1', 'K08E4.3')
('ceeh-2', 'W02A2.9')
('B0041.5', 'noah-2')
('elt-4', 'end-1')
('ZK822.2', 'best-5')
('dpy-3', 'ath-1')
('decr-1.2', 'Y57G11C.38')
('W03D8.11', 'Y66D12A.16')
('rps-21', 'taf-11.2')
('Y111B2A.10', 'lin-1')
('F29B9.5', 'C25F9.5')
('nduf-6', 'ZK1098.3')
('ZK673.11', 'far-3')
('R03H10.1', 'cerk-1')
('F54D1.6', 'T02B11.8')
('ugt-29', 'F57B10.4')
('col-69', 'F56F11.4')
('W01D2.3', 'nspb-9')
('cysl-2', 'C27A7.6')
('T25C12.3', 'M60.7')
('C42D4.3', 'nlp-9')
('rps-19', 'fic-1')
('pqn-82', 'mvb-12')
('T16G1.2', 'clec-89')
('R10E11.9', 'ZC434.9')
('ZK430.5', 'T28H10.3')
('Y82E9BR.3', 'Y38E10A.24')
('W04A8.5', 'F44G4.6')
('bath-31', 'col-3')
('nipi-3', 'F26F4.2')
('cth-1', 'M03E7.1')
('kmo-1', 'sid-2')
('C04E7.3', 'nlp-4')
('mig-6', 'szy-4')
('natb-1', 'R07C3.13')
('C18E9.9', 'nhr-273')
('T27A10.6', 'hil-1')
('C18A11.3', 'C25G4.7')
('K04G2.12', 'sdz-26')
('ZK1236.5', 'C01G12.5')
('ppk-1', 'nas-36')
('mtp-18', 'rpa-4')
('T05H10.1', 'comt-4')
('skr-15', 'F14B8.5')
('B0393.9', 'C15A11.7')
('str-173', 'C17E7.13')
('flap-1', 'R07E3.4')
('K03B8.6', 'dsbn-1')
('fbxb-33', 'acdh-12')
('tbc-12', 'cdc-25.4')
('C08H9.15', 'amx-2')
('C15H11.11', 'pbo-4')
('Y71F9AL.10', 'fkh-4')
('K06B9.6', 'Y106G6A.1')
('gale-1', 'C10C5.3')
('gcl-1', 'eel-1')
('elt-2', 'abhd-5.1')
('cut-6', 'W04H10.6')
('Y106G6H.8', 'C13B4.1')
('acox-1.1', 'vps-52')
('snai-1', 'cutl-8')
('M151.7', 'mlt-3')
('Y57G11A.4', 'hlh-6')
('dhhc-7', 'K10C2.7')
('F56C9.6', 'paf-2')
('fbxb-96', 'C42D8.1')
('C53H9.3', 'Y53F4B.62')
('D2096.10', 'grsp-3')
('dpy-7', 'sel-11')
('app-1', 'T07F10.6')
('mrps-24', 'C06H5.6')
('nhr-76', 'rpl-29')
('C16C8.5', 'T12G3.2')
('Y46E12A.3', 'F36H5.4')
('srh-200', 'H04M03.3')
('memb-1', 'cct-7')
('csk-1', 'C41H7.1')
('pyk-2', 'ras-1')
('ZK1055.4', 'F13G3.12')
('C30G12.3', 'Y82E9BR.17')
('C14A4.9', 'cwn-1')
('ugt-6', 'C49C8.3')
('trp-1', 'B0001.3')
('C30F12.2', 'ztf-22')
('dhp-2', 'Y54G11A.3')
('frl-1', 'C06E1.7')
('asah-1', 'Y46G5A.39')
('sri-67', 'pqn-62')
('F18E3.13', 'tag-174')
('ptd-2', 'ins-10')
('fbxb-3', 'grh-1')
('hrg-4', 'Y32F6A.5')
('sms-3', 'Y62E10A.20')
('ubc-25', 'T23E7.6')
('ceh-17', 'Y46G5A.38')
('gst-3', 'pgl-2')
('srsx-17', 'F31D4.2')
('F49B2.7', 'Y39B6A.8')
('ptr-23', 'K06A9.3')
('ccg-1', 'T05A7.13')
('F01G12.18', 'ceh-16')
('upb-1', 'C08A9.3')
('abts-4', 'bath-29')
('taf-3', 'R05F9.7')
('tag-243', 'Y43F8B.3')
('Y61A9LA.1', 'nhr-130')
('nhr-212', 'F55G11.4')
('nhr-161', 'gpa-15')
('sra-17', 'athp-2')
('T27D12.1', 'golg-2')
('grl-4', 'gem-4')
('end-3', 'C15C6.4')
('hgap-2', 'ocrl-1')
('ubc-7', 'kel-1')
('F16F9.3', 'ech-6')
('flp-17', 'clec-173')
('F47H4.2', 'W08G11.3')
('gly-5', 'M199.7')
('Y34B4A.4', 'Y71H2AM.2')
('gst-30', 'mrpl-39')
('dyf-5', 'dif-1')
('zip-11', 'C27C12.1')
('Y97E10AR.4', 'F52C9.3')
('T20F5.7', 'K07D4.9')
('vha-6', 'K02E10.4')
('ZC513.2', 'grl-11')
('str-144', 'Y57A10A.8')
('gst-20', 'T03F6.10')
('fkh-3', 'comt-2')
('T05A7.11', 'B0273.1')
('nhr-173', 'nhr-207')
('nhr-156', 'K09H9.8')
('F34D6.1', 'Y57A10A.14')
('fbxb-102', 'F22F7.3')
('F08C6.5', 'hrdl-1')
('F43G9.13', 'laat-1')
('prx-5', 'C04G2.10')
('F45E4.5', 'pgrn-1')
('cdh-10', 'cyk-3')
('plc-2', 'cct-8')
('F33A8.10', 'Y54F10BM.12')
('T07C4.3', 'F35A5.8')
('F23F1.7', 'R05H10.3')
('eps-8', 'acl-14')
('Y77E11A.2', 'C33G3.6')
('cnc-8', 'F19F10.3')
('F07A5.4', 'F13H8.11')
('ucr-11', 'Y75B7B.1')
('unc-8', 'zak-1')
('W04E12.9', 'R02F2.4')
('clec-149', 'W02H5.2')
('helq-1', 'DH11.2')
('folt-1', 'mrpl-37')
('F38E9.1', 'ztf-29')
('sru-40', 'C40A11.7')
('ZK484.6', 'coq-3')
('F59B1.8', 'fbxb-91')
('idhg-2', 'F18E9.4')
('slc-25A29', 'D1007.13')
('K02E2.6', 'F53C3.11')
('stg-1', 'Y45F10A.7')
('lmn-1', 'F13G3.10')
('dnj-19', 'parn-1')
('fbxb-11', 'K02D10.8')
('fbxb-104', 'kca-1')
('rpl-17', 'ran-4')
('mltn-12', 'Y106G6E.4')
('B0310.1', 'ZC123.4')
('chil-23', 'ugt-21')
('anmt-3', 'C23H4.7')
('ech-1.1', 'egg-1')
('B0019.2', 'rnh-1.2')
('F47D12.3', 'W01A8.2')
('gst-19', 'F26F12.3')
('ZC443.1', 'nhr-64')
('Y14H12A.1', 'C34E10.10')
('C01B10.10', 'pezo-1')
('hpo-32', 'Y71H2AR.1')
('math-20', 'hst-1')
('C25A11.2', 'F29D10.1')
('flp-15', 'C16A11.5')
('twk-16', 'C34D10.2')
('ztf-27', 'C27B7.5')
('C27B7.6', 'K08D8.3')
('F26F2.8', 'F08A8.8')
('srf-3', 'F54D5.23')
('pvf-1', 'B0545.4')
('ttr-35', 'K02E7.1')
('ugt-62', 'F28G4.4')
('egl-27', 'Y47D3B.1')
('his-63', 'cnd-1')
('F59A3.12', 'trpp-9')
('W05H9.1', 'C17G10.3')
('uggt-2', 'glh-4')
('rege-1', 'F29G9.7')
('B0303.11', 'F17B5.6')
('tep-1', 'srap-1')
('C18A11.2', 'F49D11.4')
('pelo-1', 'faah-2')
('ptr-12', 'dhs-27')
('F13D12.6', 'W03C9.2')
('ntl-3', 'Y17G7B.19')
('EEED8.12', 'F08G2.4')
('Y47G6A.5', 'F34H10.3')
('tag-297', 'nspd-10')
('R02C2.6', 'nhr-176')
('cdd-1', 'F59F5.3')
('col-95', 'hmgr-1')
('C13C12.2', 'ckc-1')
('cchl-1', 'K10C2.12')
('sdz-28', 'Y71F9B.1')
('C05E11.6', 'F46G11.6')
('obr-1', 'hlh-16')
('C15C6.3', 'maph-1.3')
('grd-3', 'nspb-7')
('H10E21.1', 'flr-1')
('nas-28', 'tars-1')
('W03F9.11', 'mex-3')
('npr-13', 'ugt-51')
('Y37F4.6', 'H25P06.5')
('F16A11.1', 'F48C1.5')
('sul-1', 'fbxb-51')
('F57F5.3', 'cyn-2')
('Y110A7A.21', 'atg-16.1')
('aff-1', 'zig-11')
('K09C8.8', 'aps-1')
('phlp-2', 'C44F1.1')
('F37A4.5', 'fbxb-13')
('C03F11.2', 'Y77E11A.14')
('gcy-21', 'dpy-10')
('F42G2.5', 'Y113G7A.12')
('mek-2', 'ora-1')
('Y67D2.4', 'T28A8.5')
('K12C11.6', 'cbl-1')
('R07E5.7', 'srd-44')
('dhs-2', 'C32E8.5')
('osm-7', 'K09E3.5')
('icl-1', 'D1005.2')
('C17F4.7', 'unc-40')
('ZK1290.13', 'pals-27')
('pitr-3', 'M01E5.2')
('ccch-1', 'Y53F4B.43')
('gcst-1', 'F37C12.21')
('C56G2.5', 'Y46G5A.35')
('K08C7.7', 'ZK632.2')
('F17C11.22', 'irld-1')
('gst-21', 'K04C1.2')
('Y51F10.4', 'C48B4.8')
('C01F1.4', 'F42G4.2')
('pll-1', 'Y55F3AR.2')
('R102.4', 'Y54F10AM.11')
('dpf-3', 'K12H6.4')
('F15E6.5', 'nhl-1')
('srg-58', 'ptr-10')
('M153.3', 'C10A4.10')
('Y56A3A.6', 'ZK632.11')
('pat-2', 'ZK185.5')
('F35E2.8', 'acp-6')
('pph-1', 'lap-2')
('eat-2', 'C30H6.9')
('F07H5.10', 'rgs-1')
('pho-8', 'C05D12.4')
('cey-3', 'cpt-2')
('fbxa-103', 'Y47G6A.14')
('wwp-1', 'spe-9')
('tag-335', 'F28H7.8')
('hsp-60', 'fbxb-64')
('T13H5.6', 'tsp-12')
('cnc-6', 'disl-2')
('arl-1', 'mrps-18A')
('dsl-1', 'vps-54')
('W07E6.5', 'abu-10')
('icd-2', 'F21D5.5')
('R09H10.2', 'K12H6.2')
('R04B5.5', 'srd-32')
('F10D2.10', 'C16C10.1')
('F44E7.7', 'W05E10.5')
('B0272.3', 'F21D5.3')
('lec-11', 'Y48G1BL.8')
('dpy-2', 'F27B3.6')
('R102.11', 'nhr-90')
('F36H2.3', 'C48B4.11')
('C08F8.9', 'dhs-4')
('tsfm-1', 'cblc-1')
('atfs-1', 'pqbp-1.2')
('far-2', 'copb-1')
('K03H1.5', 'C17G10.13')
('T06A4.3', 'Y48A6B.8')
('F23C8.14', 'C33E10.1')
('F54D11.3', 'F42C5.6')
('mboa-7', 'F38A6.5')
('H23N18.5', 'B0001.7')
('F13H6.3', 'clec-91')
('nhr-79', 'H05C05.1')
('clec-53', 'msh-5')
('D2045.9', 'dsl-6')
('ZC84.1', 'gpdh-1')
('ceh-45', 'T09F5.20')
('rpb-11', 'ccm-3')
('unc-31', 'hpo-15')
('ZC84.6', 'vha-19')
('C03B1.2', 'Y48G1A.4')
('sec-24.1', 'fpn-1.2')
('F28F5.4', 'C38D4.4')
('M7.8', 'F15A8.1')
('twk-18', 'F23F1.4')
('C33G8.4', 'F23D12.11')
('Y65B4A.8', 'D1086.19')
('trap-2', 'F19H6.4')
('T26C5.2', 'tpp-2')
('F11A5.5', 'Y110A7A.15')
('F11E6.4', 'fbxb-72')
('mlt-9', 'Y76B12C.8')
('sams-4', 'F56C3.9')
('H12D21.9', 'rmd-1')
('F49F1.5', 'tsp-1')
('D2005.3', 'mltn-3')
('glh-2', 'Y37E11B.1')
